entry_ts,exit_ts,direction,confidence,entry_price,entry_eff_price,exit_price,exit_eff_price,qty,fees_entry,fees_exit,net_pnl,return_pct,exit_reason,atr_entry,atr_pct,regime,sl_mult,tp_mult,sl_raw,tp_raw,horizon_steps
1759536000000,1759536900000,-1,0.7499999999226619,122232.21,122171.09389500001,122106.6972857143,122167.75063435714,0.08185242254272114,10.0,9.999726346017189,-19.72607236320665,-0.001972607236320665,take_profit,69.72928571428618,0.0005709834872822519,low,1.275,1.8,122321.11483928573,122106.6972857143,3
1759795200000,1759796100000,-1,0.6666666692810896,124658.54,124596.21073,124786.17842857142,124848.5715177857,0.08010094263030236,9.980273927636794,10.000488264621353,-40.19509917681836,-0.004027454503579549,stop_loss,100.10857142856965,0.0008029601219542235,low,1.275,1.8,124786.17842857142,124478.34457142856,3
1759881600000,1759882500000,-1,0.7777777772881869,121332.96,121272.29352,121537.1457857143,121597.91435860714,0.08196496116254844,9.940078828459976,9.966768327850124,-46.59634654646058,-0.004687724046317226,stop_loss,160.14571428571486,0.0013171196022308718,low,1.275,1.8,121537.1457857143,121044.69771428572,3
1759968000000,1759968900000,-1,0.5714285724836186,123306.01,123244.356995,123135.62457142856,123197.19238371427,0.0802753385480756,9.893482481913514,9.889696326775063,-15.997023670238452,-0.001616925455670736,take_profit,94.6585714285715,0.000768183724700186,low,1.275,1.8,123426.69967857143,123135.62457142856,3
1760140800000,1760141700000,1,0.5916006553655752,112774.49,112830.877245,112029.53300000001,111973.51823350001,0.08754239707624879,9.877485458243275,9.802430195221643,-94.73517867509653,-0.009591021831982056,stop_loss,584.2799999999999,0.005180799970206941,low,1.275,1.8,112029.53300000001,113826.194,3
1760227200000,1760228100000,1,0.7142857126243647,110644.4,110699.72219999999,110450.18289285713,110394.95780141071,0.08837194967746882,9.782750279568178,9.755817655472562,-46.47119203065657,-0.004750319767204347,stop_loss,152.32714285714505,0.0013787345495395687,low,1.275,1.8,110450.18289285713,110918.58885714285,3
1760313600000,1760314500000,-1,0.800000022580905,114958.81,114901.330595,115281.41960714286,115339.06031694643,0.08473599946249187,9.736279087537522,9.77337055302109,-56.601115124127475,-0.005813423651400579,stop_loss,253.0271428571432,0.002198573138830676,low,1.275,1.8,115281.41960714286,114503.36114285715,3
1760400000000,1760400900000,-1,0.5880817399908272,115166.0,115108.417,115320.73035714286,115378.39072232143,0.08409183467802701,9.679677972413394,9.702380558038259,-42.08464415531712,-0.004347731843482427,stop_loss,121.35714285714286,0.0010541565971651317,low,1.275,1.8,115320.73035714286,114947.55714285714,3
1760832000000,1760832900000,1,0.7142856954285672,107185.0,107238.5925,107106.69223214286,107053.13888602679,0.08987056901421078,9.637593328258077,9.620926506444563,-35.925341648216644,-0.003727625811195115,stop_loss,61.41785714285652,0.0005731299712534452,low,1.275,1.8,107106.69223214286,107295.55214285714,3
1761004800000,1761005700000,1,0.5714284748322032,110532.09,110587.356045,110383.64721428571,110328.45539067857,0.08682428380603266,9.601667986609861,9.579189122721491,-41.65972099770188,-0.004338800410074482,stop_loss,116.42571428571266,0.0010545812229599077,low,1.275,1.8,110383.64721428571,110741.65628571429,3
1761177600000,1761178500000,1,0.5555554774891569,107567.45,107621.233725,107819.4,107765.4903,0.08883013077178101,9.560008265612158,9.572822596034099,-6.318500439706424,-0.0006609304368945366,horizon,167.25642857142728,0.0015545936366763598,low,1.275,1.8,107354.19805357142,107868.51157142856,3
1761350400000,1761351300000,-1,0.6250000011800174,111004.9,110949.39755,110899.79414285715,110955.24403992857,0.08610853214292602,9.553689765172452,9.554193197838389,-19.611315628948873,-0.002052747798074943,take_profit,58.39214285713907,0.0005260514075177553,low,1.275,1.8,111079.34998214284,110899.79414285715,3
1761523200000,1761524100000,-1,0.8888888844724596,114559.41,114502.13029500001,114809.64696428571,114867.05178776785,0.08326551152349897,9.534078449543504,9.564463824304736,-49.4839170350813,-0.005190215005777576,stop_loss,196.26428571428445,0.001710311681195352,low,1.275,1.8,114809.64696428571,114206.13428571429,3
1761609600000,1761610500000,-1,0.5555555454534167,114107.65,114050.596175,114159.73,114216.80986499999,0.08316128850352696,9.484594532508423,9.498417077135748,-32.805556236969096,-0.003458825374614396,horizon,134.72785714286042,0.0011818604228348612,low,1.275,1.8,114279.42801785714,113865.13985714284,3
